ISO3,YEAR,PARTY_GOV,PARTY_CODE,PARTY_NAME
MEX,2018,1474,PRI,Institutional Revolutionary Party
MEX,2019,6110,MORENA,National Regeneration Movement
NIC,1990,7145,UNO,National Opposition Union
NIC,1991,7145,UNO,National Opposition Union
NIC,1992,7145,UNO,National Opposition Union
NIC,1993,7145,UNO,National Opposition Union
NIC,1994,7145,UNO,National Opposition Union
NIC,1995,7145,UNO,National Opposition Union
NIC,1996,7145,UNO,National Opposition Union
NIC,1997,286,PLC,Constitutionalist Liberal Party
NIC,1998,286,PLC,Constitutionalist Liberal Party
NIC,1999,286,PLC,Constitutionalist Liberal Party
NIC,2000,286,PLC,Constitutionalist Liberal Party
NIC,2001,286,PLC,Constitutionalist Liberal Party
NIC,2002,286,PLC,Constitutionalist Liberal Party
NIC,2003,286,PLC,Constitutionalist Liberal Party
NIC,2004,286,PLC,Constitutionalist Liberal Party
NIC,2005,286,PLC,Constitutionalist Liberal Party
NIC,2006,286,PLC,Constitutionalist Liberal Party
NIC,2007,769,FSLN,Sandinista National Liberation Front
NIC,2008,769,FSLN,Sandinista National Liberation Front
NIC,2009,769,FSLN,Sandinista National Liberation Front
NIC,2010,769,FSLN,Sandinista National Liberation Front
NIC,2011,769,FSLN,Sandinista National Liberation Front
NIC,2012,769,FSLN,Sandinista National Liberation Front
NIC,2013,769,FSLN,Sandinista National Liberation Front
NIC,2014,769,FSLN,Sandinista National Liberation Front
NIC,2015,769,FSLN,Sandinista National Liberation Front
NIC,2016,769,FSLN,Sandinista National Liberation Front
NIC,2017,769,FSLN,Sandinista National Liberation Front
NIC,2018,769,FSLN,Sandinista National Liberation Front
NIC,2019,769,FSLN,Sandinista National Liberation Front
PAN,1990,202,PPA,Panamenista Party / Authentic Panameñista Party
PAN,1991,202,PPA,Panamenista Party / Authentic Panameñista Party
PAN,1992,202,PPA,Panamenista Party / Authentic Panameñista Party
PAN,1993,202,PPA,Panamenista Party / Authentic Panameñista Party
PAN,1994,202,PPA,Panamenista Party / Authentic Panameñista Party
PAN,1995,1351,PRD,Democratic Revolutionary Party
PAN,1996,1351,PRD,Democratic Revolutionary Party
PAN,1997,1351,PRD,Democratic Revolutionary Party
PAN,1998,1351,PRD,Democratic Revolutionary Party
PAN,1999,1351,PRD,Democratic Revolutionary Party
PAN,2000,202,PPA,Panamenista Party / Authentic Panameñista Party
PAN,2001,202,PPA,Panamenista Party / Authentic Panameñista Party
PAN,2002,202,PPA,Panamenista Party / Authentic Panameñista Party
PAN,2003,202,PPA,Panamenista Party / Authentic Panameñista Party
PAN,2004,202,PPA,Panamenista Party / Authentic Panameñista Party
PAN,2005,1351,PRD,Democratic Revolutionary Party
PAN,2006,1351,PRD,Democratic Revolutionary Party
PAN,2007,1351,PRD,Democratic Revolutionary Party
