ISO2,ISO3,YEAR,COUNTRY,REGION,LDC,LLDC,SIDS,POP_R,PARTY_CODE,PARTY_NAME,VDEM_1,VDEM_2,VDEM_3,VDEM_4,VDEM_5,VDEM_6,HERITAGE_1,HERITAGE_2,HERITAGE_3,HERITAGE_4,HERITAGE_5,HERITAGE_6,EFW_1,EFW_2,EFW_3,EFW_4,EFW_5,EFW_6
NA,SBW,2017,Aruba,Caribbean,0,0,1,,,,,,,,,,,,,,,,,,,,,
NA,SBW,2018,Aruba,Caribbean,0,0,1,,,,,,,,,,,,,,,,,,,,,
NA,SBW,2019,Aruba,Caribbean,0,0,1,,,,,,,,,,,,,,,,,,,,,
NA,SBW,2020,Aruba,Caribbean,0,0,1,,,,,,,,,,,,,,,,,,,,,
BS,BHS,2000,Bahamas,Caribbean,0,0,1,,,,,,,,,,10.0,0.0,13.0,85.0,30.0,30.0,10.326975476839237,,100.0,52.99145299145299,13.644358862361997,23.251526563320496
BS,BHS,2001,Bahamas,Caribbean,0,0,1,,,,,,,,,,10.0,0.0,12.700000000000003,80.6,30.0,30.0,9.591280653950932,,100.0,53.802564102564105,13.644358862361997,23.251526563320496
BS,BHS,2002,Bahamas,Caribbean,0,0,1,,,,,,,,,,10.0,0.0,11.900000000000006,85.0,30.0,30.0,9.591280653950932,,100.0,54.473504273504275,13.644358862361997,23.251526563320496
BS,BHS,2003,Bahamas,Caribbean,0,0,1,,,,,,,,,,10.0,0.0,19.599999999999994,85.0,30.0,30.0,10.163487738419633,,100.0,54.7957264957265,13.644358862361997,23.251526563320496
BS,BHS,2004,Bahamas,Caribbean,0,0,1,,,,,,,,,,10.0,15.0,17.5,83.0,30.0,30.0,10.681198910081747,,100.0,51.75811965811966,13.644358862361997,23.251526563320496
BS,BHS,2005,Bahamas,Caribbean,0,0,1,,,,,,,,,,10.0,15.0,20.5,83.0,30.0,30.0,12.152588555858316,,100.0,41.86304273504273,13.644358862361997,23.251526563320496
BS,BHS,2006,Bahamas,Caribbean,0,0,1,,,,,,,,,,10.0,20.0,17.799999999999997,83.0,30.0,30.0,7.049046321525907,,100.0,37.639086925704575,13.007339800697707,23.251526563320496
BS,BHS,2007,Bahamas,Caribbean,0,0,1,,,,,,,,,,20.0,20.0,23.900000000000006,61.2,30.0,30.0,9.49622842624818,,100.0,36.205864703482355,13.007339800697707,23.251526563320496
BS,BHS,2008,Bahamas,Caribbean,0,0,1,,,,,,,,,,20.0,20.0,23.687075699999994,68.0,30.0,30.0,10.078422573113272,,100.0,36.328086925704575,13.007339800697707,23.251526563320496
BS,BHS,2009,Bahamas,Caribbean,0,0,1,,,,,,,,,,25.0,25.299505010000004,24.463629030000007,44.0,30.0,50.0,11.246707026389913,,100.0,40.5303539446444,12.636514840445358,23.251526563320496
BS,BHS,2010,Bahamas,Caribbean,0,0,1,,,,,,,,,,30.0,26.599999999999994,27.299999999999997,57.8,30.0,45.0,10.2942779291553,,100.0,40.13557616686662,15.093765613312257,30.56515722105418
BS,BHS,2011,Bahamas,Caribbean,0,0,1,,,,,,,,,,30.0,27.5,25.400000000000006,57.8,30.0,45.0,10.027247956403272,,100.0,40.44668727797773,18.960725443842605,30.56515722105418
BS,BHS,2012,Bahamas,Caribbean,0,0,1,,,,,,,,,,30.0,29.099999999999994,24.0,57.8,30.0,45.0,10.524518981115676,,100.0,40.22123181105364,18.960725443842605,33.84798550388247
BS,BHS,2013,Bahamas,Caribbean,0,0,1,,,,,,,,,,30.0,28.700000000000003,24.200000000000003,53.0,30.0,27.0,10.852938787009322,,100.0,40.11578736660921,22.960725443842605,55.89865700258831
BS,BHS,2014,Bahamas,Caribbean,0,0,1,,,,,,,,,,30.0,29.299999999999997,24.900000000000006,47.8,30.0,33.400000000000006,11.000042367442092,,100.0,36.95627391600063,22.960725443842605,33.84798550388247
BS,BHS,2015,Bahamas,Caribbean,0,0,1,,,,,,,,,,30.0,31.099999999999994,21.200000000000003,47.8,40.0,29.0,9.594965430973446,,100.0,37.43516280488953,22.960725443842605,41.89903047261522
BS,BHS,2016,Bahamas,Caribbean,0,0,1,,,,,,,,,,30.0,29.299999999999997,21.5,36.0,40.0,29.0,14.414168937329705,,100.0,37.13927391600065,22.960725443842605,41.89903047261522
BS,BHS,2017,Bahamas,Caribbean,0,0,1,,,,,,,,,,54.7,31.5,23.0,49.4,40.0,61.8,16.566757493188007,,100.0,45.0777694366328,27.467271203202174,39.131704396507644
BS,BHS,2018,Bahamas,Caribbean,0,0,1,,,,,,,,,,53.5,31.700000000000003,20.799999999999997,47.3,40.0,49.1,9.29155313351498,,50.0,43.40765832552169,27.467271203202174,58.636483411591726
BS,BHS,2019,Bahamas,Caribbean,0,0,1,,,,,,,,,,57.8,31.5,21.900000000000006,52.2,40.0,56.3,10.408719346049054,,50.0,43.54099165885502,27.467271203202174,58.636483411591726
BS,BHS,2020,Bahamas,Caribbean,0,0,1,,,,,,,,,,45.1,31.0,23.700000000000003,52.2,40.0,54.0,13.76021798365123,,100.0,51.713213881077245,27.467271203202174,37.95472511738758
BB,BRB,2000,Barbados,Caribbean,0,0,1,0.307,BLP,Barbados Labour Party,8.599999999999994,9.099999999999994,23.700000000000003,12.7,12.8,19.474999999999994,30.0,30.0,12.0,38.0,30.0,30.0,0.0,31.125,100.0,38.98304167550174,20.24873925855566,31.686993717387878
BB,BRB,2001,Barbados,Caribbean,0,0,1,0.307,BLP,Barbados Labour Party,8.599999999999994,9.099999999999994,23.700000000000003,12.7,12.8,19.474999999999994,10.0,15.0,12.599999999999994,53.2,30.0,30.0,0.0,31.125,100.0,38.98304167550174,20.24873925855566,31.686993717387878
BB,BRB,2002,Barbados,Caribbean,0,0,1,0.307,BLP,Barbados Labour Party,8.599999999999994,9.099999999999994,23.700000000000003,12.7,12.8,19.474999999999994,10.0,15.0,13.700000000000003,33.2,30.0,30.0,0.0,31.125,100.0,38.483041675501745,20.24873925855566,31.686993717387878
BB,BRB,2003,Barbados,Caribbean,0,0,1,0.307,BLP,Barbados Labour Party,8.599999999999994,9.099999999999994,23.700000000000003,12.7,12.9,19.474999999999994,10.0,15.0,14.900000000000006,33.2,30.0,30.0,18.114098928717112,31.125,100.0,36.233041675501745,20.24873925855566,31.686993717387878
BB,BRB,2004,Barbados,Caribbean,0,0,1,0.307,BLP,Barbados Labour Party,8.599999999999994,9.099999999999994,23.700000000000003,12.7,12.9,19.474999999999994,10.0,15.0,11.099999999999994,48.0,30.0,30.0,15.749318801089913,33.378596080061456,100.0,36.3629988030473,20.24873925855566,31.686993717387878
BB,BRB,2005,Barbados,Caribbean,0,0,1,0.307,BLP,Barbados Labour Party,8.599999999999994,9.099999999999994,23.700000000000003,12.7,12.9,19.474999999999994,10.0,15.0,12.299999999999997,48.0,30.0,30.0,15.749318801089913,31.125,100.0,35.944905088081356,22.98687019472331,47.24371214048816
BB,BRB,2006,Barbados,Caribbean,0,0,1,0.307,BLP,Barbados Labour Party,8.599999999999994,9.099999999999994,23.700000000000003,12.7,12.9,19.474999999999994,10.0,10.0,12.299999999999997,48.0,30.0,27.0,36.93195815791893,31.125,100.0,34.309922779976546,30.740525565833977,42.27603107891326
BB,BRB,2007,Barbados,Caribbean,0,0,1,0.307,BLP,Barbados Labour Party,8.599999999999994,9.099999999999994,23.700000000000003,12.7,12.9,19.474999999999994,10.0,10.0,23.400000000000006,43.0,40.0,31.0,40.964636127096924,31.125,100.0,33.44326439741462,31.209314339477316,41.74845741622921
BB,BRB,2008,Barbados,Caribbean,0,0,1,0.756,DLP,Democratic Labour Party,8.599999999999994,9.099999999999994,23.700000000000003,12.7,13.4,19.474999999999994,10.0,10.0,25.993930359999993,41.2,40.0,33.0,36.89373297002724,31.125,100.0,33.812564488581614,33.142972803096555,40.66979689898311
BB,BRB,2009,Barbados,Caribbean,0,0,1,0.756,DLP,Democratic Labour Party,8.599999999999994,9.099999999999994,23.700000000000003,12.7,13.4,19.474999999999994,10.0,10.0,25.49429669,35.400000000000006,40.0,31.0,37.03542234332424,31.125,100.0,33.929049760515056,30.37233285122545,39.581379851921795
BB,BRB,2010,Barbados,Caribbean,0,0,1,0.756,DLP,Democratic Labour Party,9.099999999999994,9.099999999999994,23.700000000000003,15.0,14.099999999999998,19.474999999999994,20.0,10.0,26.900000000000006,39.5,40.0,30.0,37.73024523160763,31.125,100.0,33.72636674013995,34.94954930677116,34.872284420994575
BB,BRB,2011,Barbados,Caribbean,0,0,1,0.756,DLP,Democratic Labour Party,9.099999999999994,9.099999999999994,23.700000000000003,15.0,14.099999999999998,19.474999999999994,20.0,10.0,23.700000000000003,39.5,40.0,26.0,32.20528419074695,31.125,100.0,25.685177480379195,32.064390443102795,36.09635287801211
BB,BRB,2012,Barbados,Caribbean,0,0,1,0.756,DLP,Democratic Labour Party,9.099999999999994,9.099999999999994,23.700000000000003,15.0,14.099999999999998,19.474999999999994,20.0,10.0,24.200000000000003,39.5,40.0,22.0,38.98747298477083,31.125,100.0,27.706351066103267,30.429463466534514,38.78644387088906
BB,BRB,2013,Barbados,Caribbean,0,0,1,0.756,DLP,Democratic Labour Party,9.099999999999994,9.099999999999994,23.700000000000003,15.0,13.8,19.474999999999994,20.0,25.200000000000003,27.900000000000006,39.5,40.0,22.0,40.31058057284916,31.125,100.0,24.422861940911417,34.412342526709935,39.24811585565068
BB,BRB,2014,Barbados,Caribbean,0,0,1,0.756,DLP,Democratic Labour Party,9.099999999999994,9.099999999999994,23.700000000000003,15.0,13.700000000000001,19.474999999999994,20.0,27.200000000000003,25.400000000000006,39.4,40.0,22.099999999999994,40.31058057284916,31.125,100.0,29.80442305367052,35.395290149334485,39.24811585565068
BB,BRB,2015,Barbados,Caribbean,0,0,1,0.756,DLP,Democratic Labour Party,9.599999999999994,9.099999999999994,24.200000000000003,17.299999999999997,14.399999999999999,19.474999999999994,20.0,28.400000000000006,21.799999999999997,36.2,40.0,25.0,40.544959128065386,31.125,100.0,30.477358019647966,34.63394998246318,38.24478204171818
BB,BRB,2016,Barbados,Caribbean,0,0,1,0.756,DLP,Democratic Labour Party,9.599999999999994,9.099999999999994,24.200000000000003,17.299999999999997,14.499999999999998,19.474999999999994,20.0,29.799999999999997,19.200000000000003,37.8,40.0,26.0,33.54223433242507,31.125,100.0,30.35513579742573,34.63394998246318,38.43414141379114
BB,BRB,2017,Barbados,Caribbean,0,0,1,0.756,DLP,Democratic Labour Party,9.5,7.299999999999997,25.799999999999997,17.299999999999997,14.000000000000002,14.224999999999994,44.5,30.400000000000006,16.299999999999997,37.8,40.0,65.7,33.54223433242507,29.474999999999994,100.0,32.291084520441316,35.0112432803916,46.92618956410022
BB,BRB,2018,Barbados,Caribbean,0,0,1,0.369,BLP,Barbados Labour Party,8.299999999999997,7.299999999999997,26.799999999999997,13.700000000000001,12.6,14.224999999999994,48.6,29.5,15.0,37.8,40.0,46.2,33.54223433242507,28.72500000000001,100.0,30.87140760571596,35.200112878430886,41.1941710400945
BB,BRB,2019,Barbados,Caribbean,0,0,1,0.369,BLP,Barbados Labour Party,7.599999999999994,7.299999999999997,26.799999999999997,9.4,11.899999999999999,12.325000000000003,47.1,30.200000000000003,21.700000000000003,43.4,40.0,46.2,33.54223433242507,28.72500000000001,50.0,29.421382329653028,35.200112878430886,40.638615484538946
BB,BRB,2020,Barbados,Caribbean,0,0,1,,,,7.599999999999994,7.299999999999997,25.799999999999997,9.4,11.899999999999999,12.325000000000003,43.4,30.599999999999994,22.099999999999994,43.4,40.0,56.0,33.54223433242507,33.125,50.0,34.817017986653994,35.200112878430886,40.638615484538946
BZ,BLZ,2000,Belize,Central America,0,0,1,,,,,,,,,,50.0,30.0,8.0,46.2,50.0,50.0,3.1143669400276224,,100.0,48.82992221784562,22.441827269169437,20.73885495384053
BZ,BLZ,2001,Belize,Central America,0,0,1,,,,,,,,,,30.0,30.0,11.099999999999994,44.0,50.0,50.0,3.1143669400276224,,100.0,48.82992221784562,22.441827269169437,20.73885495384053
BZ,BLZ,2002,Belize,Central America,0,0,1,,,,,,,,,,50.0,30.0,6.0,33.2,50.0,50.0,3.1143669400276224,,50.0,48.90149487179488,22.441827269169437,20.73885495384053
BZ,BLZ,2003,Belize,Central America,0,0,1,,,,,,,,,,50.0,30.0,10.799999999999997,33.2,50.0,50.0,2.7929155313351544,,50.0,46.95149487179488,32.220749618543735,20.73885495384053
BZ,BLZ,2004,Belize,Central America,0,0,1,,,,,,,,,,50.0,30.0,13.5,40.0,50.0,50.0,3.201634877384194,,50.0,45.23825555117895,25.18874934821929,20.73885495384053
BZ,BLZ,2005,Belize,Central America,0,0,1,,,,,,,,,,50.0,30.0,14.799999999999997,41.6,50.0,55.0,3.337874659400555,,50.0,39.787330936909925,25.18874934821929,20.73885495384053
BZ,BLZ,2006,Belize,Central America,0,0,1,,,,,,,,,,50.0,22.599999999999994,15.799999999999997,41.6,50.0,62.0,4.89918256130791,,50.0,39.1806357674158,25.18874934821929,20.73885495384053
BZ,BLZ,2007,Belize,Central America,0,0,1,,,,,,,,,,50.0,22.599999999999994,26.799999999999997,32.8,50.0,63.0,7.027247956403272,,50.0,37.363216963997,25.18874934821929,20.73885495384053
BZ,BLZ,2008,Belize,Central America,0,0,1,,,,,,,,,,50.0,23.453788059999994,22.731211979999998,35.400000000000006,50.0,65.0,7.572207084468658,,50.0,36.72299474177478,25.18874934821929,20.73885495384053
BZ,BLZ,2009,Belize,Central America,0,0,1,,,,,,,,,,50.0,24.517885629999995,21.636856069999993,30.400000000000006,50.0,70.0,7.9591280653950776,,100.0,37.66966140844144,23.063912325767248,20.73885495384053
BZ,BLZ,2010,Belize,Central America,0,0,1,,,,,,,,,,60.0,25.900000000000006,24.400000000000006,28.5,50.0,71.0,12.530668326350963,,100.0,37.25855029733033,24.995972506749425,43.84200468158322
BZ,BLZ,2011,Belize,Central America,0,0,1,,,,,,,,,,60.0,26.299999999999997,21.200000000000003,28.5,50.0,71.0,12.892365736155611,,100.0,36.95422110323018,23.671934216314426,54.38769912602765
BZ,BLZ,2012,Belize,Central America,0,0,1,,,,,,,,,,70.0,26.400000000000006,22.400000000000006,21.900000000000006,50.0,80.0,13.511886272969662,,100.0,36.466225763282985,23.671934216314426,57.28332202165055
BZ,BLZ,2013,Belize,Central America,0,0,1,,,,,,,,,,70.0,27.400000000000006,22.700000000000003,22.799999999999997,50.0,100.0,13.148149670342164,,100.0,36.27855909661632,29.087968425424393,57.28332202165055
